date,Bt,Bz,Np,Vp,Kp*10,Dst,F10.7,AE,>10MeV,>30MeV,>60MeV
2001-03-31 00:00:00,7.4,-3.2,26.0,424.0,67,0,245.3,405,18.6,1.02,0.47
2001-03-31 01:00:00,48.2,26.0,29.6,562.0,67,3,245.3,689,13.5,0.79,0.46
2001-03-31 02:00:00,47.1,17.0,11.5,639.0,67,5,245.3,417,13.6,0.92,0.52
2001-03-31 03:00:00,45.1,-1.0,22.3,703.0,87,26,245.3,936,14.6,0.89,0.51
2001-03-31 04:00:00,37.7,-21.6,37.9,716.0,87,-8,245.3,946,17.5,0.95,0.5
2001-03-31 05:00:00,36.1,-28.0,29.8,701.0,87,-156,245.3,668,15.0,0.76,0.4
2001-03-31 06:00:00,46.9,-44.7,11.3,685.0,87,-262,245.3,492,5.47,0.55,0.39
2001-03-31 07:00:00,43.1,-36.3,13.1,671.0,87,-351,245.3,792,5.03,0.56,0.4
2001-03-31 08:00:00,37.6,19.4,17.5,644.0,87,-387,245.3,753,4.03,0.47,0.34
2001-03-31 09:00:00,33.5,28.9,19.8,589.0,63,-346,245.3,302,2.93,0.47,0.35
2001-03-31 10:00:00,31.8,24.4,25.2,584.0,63,-317,245.3,200,3.29,0.49,0.37
2001-03-31 11:00:00,22.0,14.1,20.8,601.0,63,-292,245.3,243,2.97,0.52,0.39
2001-03-31 12:00:00,19.0,-1.2,26.1,615.0,70,-259,245.3,286,2.53,0.45,0.34
2001-03-31 13:00:00,36.8,7.9,11.6,618.0,70,-249,245.3,751,2.11,0.43,0.32
2001-03-31 14:00:00,32.3,-5.2,10.4,622.0,70,-220,245.3,481,1.97,0.43,0.32
2001-03-31 15:00:00,35.2,-34.6,7.6,617.0,80,-222,245.3,537,1.52,0.44,0.32
2001-03-31 16:00:00,33.1,-32.2,4.5,604.0,80,-214,245.3,1524,1.64,0.46,0.36
2001-03-31 17:00:00,31.2,-29.3,11.9,599.0,80,-247,245.3,1124,2.09,0.73,0.49
2001-03-31 18:00:00,29.5,-22.4,12.5,611.0,83,-254,245.3,1503,1.64,0.42,0.31
2001-03-31 19:00:00,30.2,-22.9,8.7,615.0,83,-269,245.3,641,1.93,0.44,0.34
